date,EventProcessedUtcTime,PartitionId,EventEnqueuedUtcTime,metadata_deviceType,metadata_studentId,metadata_uid,telemetry_temperature,telemetry_pressure,telemetry_humidity,telemetry_windSpeed,telemetry_windDirection,IoTHub_ConnectionDeviceId
2019-07-14T00:00:00.0000000,2019-07-14T13:38:45.5032969Z,1,2019-07-14T13:38:45.4170000Z,WeatherStation,7D358050,A007C7C1302B9812,31.20000076,966.7084961,33.5,5.199999809,312,CWF-MX-001
2019-07-14T00:00:00.0000000,2019-07-14T13:38:50.6922562Z,1,2019-07-14T13:38:50.6540000Z,WeatherStation,7D358050,A007C7C1302B9812,31.20000076,966.7001953,33.40000153,5.199999809,312,CWF-MX-001
2019-07-14T00:00:00.0000000,2019-07-14T13:38:55.9729668Z,1,2019-07-14T13:38:55.8930000Z,WeatherStation,7D358050,A007C7C1302B9812,31.20000076,966.7497559,33.59999847,5.199999809,312,CWF-MX-001
2019-07-14T00:00:00.0000000,2019-07-14T13:39:01.1509696Z,1,2019-07-14T13:39:01.1390000Z,WeatherStation,7D358050,F8316606A6B3A4D0,31.20000076,966.6899414,33.5,5.199999809,311,CWF-MX-001
2019-07-14T00:00:00.0000000,2019-07-14T13:39:06.4369565Z,1,2019-07-14T13:39:06.3780000Z,WeatherStation,7D358050,43DD8642598BC9E8,31.10000038,966.7485352,33.5,5.199999809,311,CWF-MX-001
2019-07-14T00:00:00.0000000,2019-07-14T13:39:11.7235594Z,1,2019-07-14T13:39:11.6300000Z,WeatherStation,7D358050,AB1BE130C263C099,31.10000038,966.699707,33.40000153,5.199999809,313,CWF-MX-001
2019-07-14T00:00:00.0000000,2019-07-14T13:39:16.9115710Z,1,2019-07-14T13:39:16.8740000Z,WeatherStation,7D358050,1791067C1196C0A5,31,966.7160645,33.40000153,5.199999809,312,CWF-MX-001
2019-07-14T00:00:00.0000000,2019-07-14T13:39:22.2021794Z,1,2019-07-14T13:39:22.1080000Z,WeatherStation,7D358050,E5F62434DBB0EE48,31,966.713623,33.40000153,5.199999809,309,CWF-MX-001
2019-07-14T00:00:00.0000000,2019-07-14T13:39:27.3841847Z,1,2019-07-14T13:39:27.3410000Z,WeatherStation,7D358050,AE6A05BDC831E816,31.10000038,966.7353516,33.59999847,5.199999809,312,CWF-MX-001
2019-07-14T00:00:00.0000000,2019-07-14T13:39:32.6801816Z,1,2019-07-14T13:39:32.5970000Z,WeatherStation,7D358050,AE6A05BDC831E816,31.10000038,966.7265625,33.59999847,5.199999809,312,CWF-MX-001
2019-07-14T00:00:00.0000000,2019-07-14T13:39:37.8712697Z,1,2019-07-14T13:39:37.8380000Z,WeatherStation,7D358050,AE6A05BDC831E816,31.10000038,966.7026367,33.5,5.199999809,312,CWF-MX-001
2019-07-14T00:00:00.0000000,2019-07-14T13:39:43.1602164Z,1,2019-07-14T13:39:43.0790000Z,WeatherStation,7D358050,AE6A05BDC831E816,31.10000038,966.7226563,33.40000153,5.199999809,312,CWF-MX-001
2019-07-14T00:00:00.0000000,2019-07-14T13:39:48.3472426Z,1,2019-07-14T13:39:48.3190000Z,WeatherStation,7D358050,316013D33316E151,31,966.7067871,33.40000153,5.199999809,313,CWF-MX-001
2019-07-14T00:00:00.0000000,2019-07-14T13:39:53.7282259Z,1,2019-07-14T13:39:53.6650000Z,WeatherStation,7D358050,AE6A05BDC831E816,31.10000038,966.7353516,33.59999847,5.199999809,312,CWF-MX-001
2019-07-14T00:00:00.0000000,2019-07-14T13:39:59.0172186Z,1,2019-07-14T13:39:59.0010000Z,WeatherStation,7D358050,EFA8AC84184D1AA7,31.10000038,966.7231445,33.59999847,5.199999809,314,CWF-MX-001
2019-07-14T00:00:00.0000000,2019-07-14T13:40:04.3132595Z,1,2019-07-14T13:40:04.2360000Z,WeatherStation,7D358050,43DD8642598BC9E8,31.10000038,966.7438965,33.5,5.199999809,311,CWF-MX-001
2019-07-14T00:00:00.0000000,2019-07-14T13:40:09.5156547Z,1,2019-07-14T13:40:09.4860000Z,WeatherStation,7D358050,EFA8AC84184D1AA7,31.10000038,966.7358398,33.59999847,5.199999809,314,CWF-MX-001
2019-07-14T00:00:00.0000000,2019-07-14T13:40:14.8106619Z,1,2019-07-14T13:40:14.7220000Z,WeatherStation,7D358050,A007C7C1302B9812,31.20000076,966.7277832,33.5,5.199999809,312,CWF-MX-001
2019-07-14T00:00:00.0000000,2019-07-14T13:40:20.0024962Z,1,2019-07-14T13:40:19.9730000Z,WeatherStation,7D358050,A810D86A8B3EA544,31.20000076,966.7158203,33.5,5.199999809,310,CWF-MX-001
2019-07-14T00:00:00.0000000,2019-07-14T13:40:25.2864759Z,1,2019-07-14T13:40:25.2090000Z,WeatherStation,7D358050,96A6946B14BA13B3,31.20000076,966.6772461,33.5,5.199999809,313,CWF-MX-001
2019-07-14T00:00:00.0000000,2019-07-14T13:40:30.5714735Z,1,2019-07-14T13:40:30.4590000Z,WeatherStation,7D358050,43DD8642598BC9E8,31.10000038,966.7541504,33.29999924,5.199999809,311,CWF-MX-001
2019-07-14T00:00:00.0000000,2019-07-14T13:40:35.7524792Z,1,2019-07-14T13:40:35.6980000Z,WeatherStation,7D358050,43DD8642598BC9E8,31.10000038,966.7424316,33.40000153,5.199999809,311,CWF-MX-001
2019-07-14T00:00:00.0000000,2019-07-14T13:40:41.0403549Z,1,2019-07-14T13:40:40.9340000Z,WeatherStation,7D358050,AB1BE130C263C099,31.10000038,966.7365723,33.70000076,5.199999809,313,CWF-MX-001
2019-07-14T00:00:00.0000000,2019-07-14T13:40:46.2223424Z,1,2019-07-14T13:40:46.1740000Z,WeatherStation,7D358050,B7DB4492CA6046E9,31,966.6994629,33.70000076,5.199999809,311,CWF-MX-001
2019-07-14T00:00:00.0000000,2019-07-14T13:40:51.5153763Z,1,2019-07-14T13:40:51.4260000Z,WeatherStation,7D358050,AE6A05BDC831E816,31.10000038,966.715332,33.40000153,5.199999809,312,CWF-MX-001
2019-07-14T00:00:00.0000000,2019-07-14T13:40:56.7064051Z,1,2019-07-14T13:40:56.6610000Z,WeatherStation,7D358050,F8316606A6B3A4D0,31.20000076,966.7329102,33.5,5.199999809,311,CWF-MX-001
2019-07-14T00:00:00.0000000,2019-07-14T13:41:01.9904080Z,1,2019-07-14T13:41:01.8960000Z,WeatherStation,7D358050,43DD8642598BC9E8,31.10000038,966.720459,33.5,5.199999809,311,CWF-MX-001
2019-07-14T00:00:00.0000000,2019-07-14T13:41:07.1693739Z,1,2019-07-14T13:41:07.1470000Z,WeatherStation,7D358050,A007C7C1302B9812,31.20000076,966.6962891,33.5,5.199999809,312,CWF-MX-001
2019-07-14T00:00:00.0000000,2019-07-14T13:41:12.4563767Z,1,2019-07-14T13:41:12.4310000Z,WeatherStation,7D358050,43DD8642598BC9E8,31.10000038,966.7480469,33.40000153,5.199999809,311,CWF-MX-001
2019-07-14T00:00:00.0000000,2019-07-14T13:41:17.7371399Z,1,2019-07-14T13:41:17.6350000Z,WeatherStation,7D358050,AB1BE130C263C099,31.10000038,966.7124023,33.5,5.199999809,313,CWF-MX-001
2019-07-14T00:00:00.0000000,2019-07-14T13:41:22.9147257Z,1,2019-07-14T13:41:22.8710000Z,WeatherStation,7D358050,AE6A05BDC831E816,31.10000038,966.7233887,33.20000076,5.199999809,312,CWF-MX-001
2019-07-14T00:00:00.0000000,2019-07-14T13:41:28.2027323Z,1,2019-07-14T13:41:28.1220000Z,WeatherStation,7D358050,43DD8642598BC9E8,31.10000038,966.7199707,33.59999847,5.199999809,311,CWF-MX-001
2019-07-14T00:00:00.0000000,2019-07-14T13:41:33.3977445Z,1,2019-07-14T13:41:33.3600000Z,WeatherStation,7D358050,1791067C1196C0A5,31,966.6726074,33.40000153,5.199999809,312,CWF-MX-001
2019-07-14T00:00:00.0000000,2019-07-14T13:41:38.6827477Z,1,2019-07-14T13:41:38.5950000Z,WeatherStation,7D358050,1791067C1196C0A5,31,966.6938477,33.5,5.199999809,312,CWF-MX-001
2019-07-14T00:00:00.0000000,2019-07-14T13:41:43.8587552Z,1,2019-07-14T13:41:43.8300000Z,WeatherStation,7D358050,B7DB4492CA6046E9,31,966.6728516,33.5,5.199999809,311,CWF-MX-001
